epoch	train_loss	valid_loss	accuracy	error_rate	time
0	1.222671	134.032990	0.148000	0.852000	01:11
1	0.855792	167.590637	0.102000	0.898000	01:08
2	0.602490	156.768036	0.190000	0.810000	01:08
3	0.508621	110.345459	0.107000	0.893000	01:08
4	0.419583	60.440697	0.101000	0.899000	01:09
5	0.330104	63.776630	0.101000	0.899000	01:08
6	0.214875	23.144814	0.196000	0.804000	01:08
7	0.221723	7.126484	0.468000	0.532000	01:08
8	0.170971	0.790631	0.781000	0.219000	01:08
9	0.135718	0.102798	0.964000	0.036000	01:08
